Date,ProductName,Quantity,UnitPrice,StoreLocation,PaymentType,PromotionApplied,Weather,Temperature,StaffPerformanceRating,CustomerFeedback,DeliveryTime_min,OrderType,CustomerName,CustomerAddress,Customer_PhoneNumber,CustomerEmail,Staff_Name,Staff_Email,DayOfWeek,TotalSales
2023-01-01 21:00:00,Pizza Beef Double decker,5,6.010768322,North,Cash,FALSE,Rainy,30.388592,Average,,46,In Store,Andrea Miles,"USS Roberts
FPO AE 36880",+1-726-418-7385,zreyes@example.com,Blake Ramirez,,Sunday,30.05384161
2023-01-01 22:00:00,Red Velvet Cake,1,10.81088879,West,Credit Card,TRUE,Rainy,28.57846284,Good,Positive,30,Phone Order,Brian Richards,"4788 Karen Lodge Suite 745
South Alexandrafort, ND 91947",(277)713-5055,macosta@example.com,Barbara Campbell,wjohnson@example.com,Sunday,10.81088879
2023-01-01 23:00:00,Pizza Margherita,3,17.77761855,East,Credit Card,TRUE,Cloudy,33.61194765,Poor,Neutral,29,Phone Order,Steven Reyes,"69646 Timothy Inlet Apt. 409
New Christina, NJ 81647",469-922-4394x0246,danielhines@example.net,Mary Mcgee,victoria48@example.com,Sunday,53.33285566
2023-01-02 00:00:00,Red Velvet Cake,4,11.05846796,East,Online,FALSE,Rainy,21.83722125,Good,Neutral,56,Online Order,Jay Perez,"181 Rogers Plains
West Jessica, OR 09432",575.399.1973,stacie15@example.net,Kenneth Vega,jwang@example.com,Monday,44.23387185
2023-01-02 01:00:00,Pizza Margherita,2,6.164219671,East,Credit Card,FALSE,Cloudy,28.0105417,Excellent,Neutral,26,Phone Order,Cory Gonzales,"61969 Vasquez Flats Suite 844
Mcneilchester, IN 21947",522.744.0186x917,dmurphy@example.com,Jonathan Bell,,Monday,12.32843934
2023-01-02 02:00:00,Pizza Margherita,1,13.13801553,East,Cash,FALSE,Rainy,33.1919404,Good,,15,Online Order,Micheal Dunn,"659 Hines Field
East Ashleybury, LA 29290",869-675-3202x452,olivia16@example.net,Phyllis Herman,,Monday,13.13801553
2023-01-02 03:00:00,Carrot Cake,5,17.92613742,East,Cash,TRUE,Sunny,26.1503568,Average,,31,Phone Order,Misty Barrera,"2997 Breanna Plaza
Lake Samanthaburgh, IL 87257",738-460-9721x20310,vmoore@example.org,Bryan Beck,michael85@example.net,Monday,89.63068712
2023-01-02 04:00:00,Vanilla Cake,1,13.85428314,West,Online,FALSE,Sunny,27.22992377,Average,Positive,55,Phone Order,Kelsey Cohen,"780 Martin Springs
East Cynthia, MT 32912",8032065419,matthewmartinez@example.com,Richard Stevenson,blackeugene@example.com,Monday,13.85428314
2023-01-02 05:00:00,Red Velvet Cake,5,8.394186623,North,Credit Card,TRUE,Cloudy,21.05691017,Good,Negative,42,Phone Order,Katherine Mason,"54305 Hill Shoals
East Justinville, NJ 64488",(484)692-1660x57309,jcalderon@example.org,Timothy Dillon,omurray@example.com,Monday,41.97093312
2023-01-02 06:00:00,Pizza Beef Double decker,3,10.7635943,North,Online,TRUE,Cloudy,24.17215461,Average,Positive,21,Phone Order,Christopher Jimenez,"2746 Thompson Burg Suite 466
Port Laurenview, MD 57695",6068589669,melaniechavez@example.com,Dr. John Guzman Jr.,allison40@example.com,Monday,32.29078291
2023-01-02 07:00:00,Pizza Margherita,4,11.75185042,East,Cash,TRUE,Rainy,,Average,Neutral,23,Phone Order,Amy Wilson,"589 Brianna Summit Suite 897
Leeland, MT 61948",419.298.2871,sgill@example.net,Tony Martinez,dwayne45@example.org,Monday,47.00740167
2023-01-02 08:00:00,Carrot Cake,3,13.68899531,West,Online,FALSE,Rainy,34.17683673,Excellent,Positive,36,Phone Order,Megan Johnson,"68130 Shawn Lodge
Markland, HI 53529",971-245-4871x9717,josephtorres@example.com,Christine Vargas,tracy79@example.net,Monday,41.06698592
2023-01-02 09:00:00,Pizza Pepperoni,2,16.39026539,South,Credit Card,FALSE,Sunny,24.24001041,Poor,Negative,40,Online Order,Benjamin Moore,"Unit 0770 Box 8337
DPO AA 36811",(838)530-8015,stephaniemaddox@example.org,Emily Williams,allenbradley@example.org,Monday,32.78053077
2023-01-02 10:00:00,Chocolate Cake,1,6.483104265,South,Online,FALSE,Rainy,26.91303103,Average,Negative,26,Online Order,Kyle Hall,"2684 Kristina Brook
North Sydney, PR 86893",(679)680-2205x7218,mackdavid@example.net,Jackie Johnson,,Monday,6.483104265
2023-01-02 11:00:00,Vanilla Cake,5,18.3447805,West,Credit Card,TRUE,Sunny,30.06956635,Poor,Positive,21,In Store,Samuel Mercado,"123 Gallagher Lights Suite 948
Kathyport, SD 78208",971-221-9934x29055,,Cassandra Mitchell,jeff80@example.org,Monday,91.72390248
2023-01-02 12:00:00,Fruit Cake,5,5.184645545,East,Credit Card,FALSE,Cloudy,,Good,Positive,29,Phone Order,Teresa Patel,"PSC 9512, Box 5441
APO AP 10986",+1-557-992-8706,jonathan93@example.com,Laura White,aaronschneider@example.net,Monday,25.92322773
2023-01-02 13:00:00,Pizza Pepperoni,1,10.55078502,North,Cash,TRUE,Rainy,27.29663581,Good,Positive,52,Online Order,Ruth Irwin,"69917 Sullivan Brook Apt. 113
Reginabury, FM 59301",691.832.9638x493,wheelermichele@example.net,Courtney Gates,tarahamilton@example.net,Monday,10.55078502
2023-01-02 14:00:00,Chocolate Cake,1,5.41130465,West,Cash,TRUE,Cloudy,31.07808559,Average,Negative,35,Phone Order,Justin Russo,"7201 Pope Fort
North Laurenside, RI 90302",(806)238-2527x74311,rwheeler@example.org,Diana Sanders,sweeneycorey@example.net,Monday,5.41130465
2023-01-02 15:00:00,Pizza Pepperoni,2,10.89461338,South,Cash,TRUE,Rainy,33.0028282,Good,Neutral,28,Phone Order,Maria Tyler,"994 Kimberly Hill Suite 578
Christophertown, NY 63863",(505)296-4020x4743,,Michelle Ramirez,tyronecooke@example.org,Monday,21.78922676
2023-01-02 16:00:00,Red Velvet Cake,3,12.88718898,South,Credit Card,TRUE,Sunny,29.39388912,Excellent,,16,Online Order,Kathy Potts,"3041 Matthew Summit
Makaylamouth, WY 80761",(489)884-6629,andersonsteven@example.com,Rebecca Barnes,mberg@example.org,Monday,38.66156695
2023-01-02 17:00:00,Pizza Margherita,5,12.6752208,South,Online,TRUE,Cloudy,30.03580273,Average,Neutral,22,Phone Order,Jeffrey Wallace,"37834 Amanda Harbors Suite 544
Jonesport, KY 78476",852.761.7585x619,patrickfranklin@example.net,Emma Keller,jenniferwoodward@example.com,Monday,63.37610399
2023-01-02 18:00:00,Vanilla Cake,2,7.484425205,East,Credit Card,TRUE,Cloudy,,Average,Negative,59,Online Order,Tracy Taylor,"109 Wise Hills Apt. 063
North Alexisside, IA 60545",569-655-4045x76834,knightjoshua@example.com,Angela Roman,kimberlyharrington@example.com,Monday,14.96885041
2023-01-02 19:00:00,Cheesecake,3,14.68610765,South,Cash,FALSE,Rainy,34.18664746,Average,Positive,20,Online Order,Willie Bell,"48031 Fuller Via
North Sean, ID 13025",+1-257-625-2972x773,williamrosario@example.org,Bryce Bernard,washingtonashley@example.com,Monday,44.05832295
2023-01-02 20:00:00,Pizza Margherita,2,5.671676758,West,Cash,TRUE,Cloudy,21.98861116,Good,Positive,51,In Store,Timothy Gallagher,"67964 Brian Knoll Apt. 214
Rileyshire, MN 32485",001-827-458-8592,,Jerry Collins DDS,michellepeterson@example.com,Monday,11.34335352
2023-01-02 21:00:00,Cheesecake,5,16.4286023,West,Online,FALSE,Sunny,,Good,Negative,51,In Store,Dr. Kaitlyn Nguyen MD,"PSC 1269, Box 8741
APO AP 74383",(730)747-3474x2953,,Cynthia Carrillo,johnsonjohn@example.net,Monday,82.14301151
2023-01-02 22:00:00,Chocolate Cake,1,19.19966651,South,Cash,TRUE,Cloudy,23.97224483,Average,Positive,47,In Store,Judith Brown,"4446 Mitchell Glens Suite 784
Port Michael, MI 24305",001-796-326-0144,mcbridegregory@example.org,Scott Moss,scalhoun@example.com,Monday,19.19966651
2023-01-02 23:00:00,Carrot Cake,1,10.09653241,West,Cash,FALSE,Cloudy,34.00389716,Poor,Neutral,55,In Store,Holly Mooney,"24852 Maurice Views Apt. 255
North Connieland, SC 09318",892-609-7587x750,james44@example.com,Tammy Flores,todd17@example.org,Monday,10.09653241
2023-01-03 00:00:00,Fruit Cake,3,12.75859073,South,Cash,FALSE,Rainy,30.79939309,Good,Negative,20,Phone Order,Christopher Miller,"49385 Erin Flats Suite 584
Barnesland, AK 15019",690-518-9867x63749,danielmartin@example.com,Christine Nunez,ocantu@example.com,Tuesday,38.27577218
2023-01-03 01:00:00,Pizza Beef Double decker,4,10.68365417,South,Online,FALSE,Cloudy,31.30720569,Good,Negative,40,Phone Order,Michael Le,"59494 Brewer Cliff
Charlesville, MO 31287",001-934-813-2120x05852,vrivas@example.net,John Martin,michael70@example.org,Tuesday,42.73461668
2023-01-03 02:00:00,Pizza Margherita,3,5.100655855,North,Credit Card,FALSE,Rainy,23.2858876,Average,Positive,53,In Store,Rachel Smith,"USNS Ray
FPO AE 70448",620.240.2397x019,brandon35@example.net,Phillip Hernandez,,Tuesday,15.30196756
2023-01-03 03:00:00,Vanilla Cake,4,10.78811754,East,Cash,TRUE,Rainy,26.64559965,Poor,Negative,55,Online Order,Ashley Perry,"467 Sean Stravenue
Angelton, AS 09379",(795)222-3331,jonathonrogers@example.com,Leslie Stone,terrysean@example.net,Tuesday,43.15247017
2023-01-03 04:00:00,Pizza Pepperoni,2,16.87580389,East,Online,TRUE,Cloudy,29.26719792,Average,Positive,51,Online Order,Kelly Cortez,"1882 Ryan Springs
East Kaylaport, DE 59530",+1-620-664-4725x2727,kristin81@example.org,Jason Eaton,qgriffin@example.org,Tuesday,33.75160778
2023-01-03 05:00:00,Vanilla Cake,2,13.93983263,North,Cash,TRUE,Sunny,,Good,Positive,28,Online Order,Lindsey Nunez,"4424 Rosario Plain Suite 110
Williamsside, DE 85954",(369)207-7494x5580,melissafitzpatrick@example.net,Sheila Williams,,Tuesday,27.87966527
2023-01-03 06:00:00,Chocolate Cake,5,6.518898719,North,Online,TRUE,Rainy,21.55939064,Average,Negative,51,Online Order,Michael Baker,"1785 Laura Brooks
Kellerchester, AS 77756",(812)912-8173,jwilliams@example.net,Jonathan Johnson,andrew87@example.net,Tuesday,32.5944936
2023-01-03 07:00:00,Cheesecake,4,17.70709235,East,Cash,FALSE,Cloudy,34.43547975,Average,Positive,22,Phone Order,Colleen Acevedo,"21128 Nelson Hollow
Port Taylorberg, OH 59125",001-844-457-5691x4284,longamy@example.net,Alexandra Wilson,heatherchang@example.net,Tuesday,70.82836938
2023-01-03 08:00:00,Pizza Pepperoni,5,12.96628017,South,Online,FALSE,Rainy,33.35331006,Average,,53,Online Order,Andrea Martin DDS,"185 Robertson Pike
New Travis, MI 93092",9563352820,jessicawilson@example.net,John Fowler,hallstephanie@example.org,Tuesday,64.83140087
2023-01-03 09:00:00,Pizza Beef Double decker,1,17.62585043,South,Cash,FALSE,Sunny,,Poor,Neutral,27,Online Order,Brian Perez,"07888 Jennifer Forks
Port Steventown, TX 96919",934-778-8708x87126,jharris@example.org,Scott Jimenez,luceroscott@example.org,Tuesday,17.62585043
2023-01-03 10:00:00,Pizza Beef Double decker,4,13.70332278,East,Credit Card,TRUE,Sunny,32.34140365,Average,Positive,27,In Store,Steven Booth,"PSC 2047, Box 5184
APO AA 44580",209.698.4896x821,ltorres@example.net,Bethany Hudson,jonathan04@example.com,Tuesday,54.81329113
2023-01-03 11:00:00,Pizza Margherita,3,13.39532667,South,Cash,FALSE,Rainy,,Good,,54,Online Order,Jacob Reese,"98995 Ricardo Fall
Port Joanna, GU 81575",653.693.0349,debra51@example.com,Holly Lara,wrightkelly@example.net,Tuesday,40.18598002
2023-01-03 12:00:00,Chocolate Cake,1,6.578887778,North,Online,TRUE,Sunny,26.92709722,Average,Positive,57,Phone Order,Charles Brooks,"045 Dominguez Plains
New Dannyshire, NM 07653",7094235871,normandavid@example.com,Tanya Kane,blevinstravis@example.net,Tuesday,6.578887778
2023-01-03 13:00:00,Carrot Cake,1,7.510395997,South,Cash,FALSE,Cloudy,24.71651159,Poor,Neutral,42,Online Order,Amy Jones,"5589 Garcia Shore Suite 378
Lake Aprilborough, NH 14688",855.319.7228,esmith@example.net,Alexander Anderson,jamesedwards@example.com,Tuesday,7.510395997
2023-01-03 14:00:00,Chocolate Cake,3,19.58037885,South,Credit Card,FALSE,Cloudy,28.7145288,Excellent,Negative,32,Online Order,Patrick Perez,"06163 Perkins Knoll Apt. 675
Kimberlyside, LA 89645",974-921-3029,bolson@example.net,Jennifer Harrison,nlee@example.com,Tuesday,58.74113654
2023-01-03 15:00:00,Cheesecake,1,8.427301201,West,Cash,FALSE,Rainy,,Poor,Positive,33,Phone Order,Nicholas Contreras,"PSC 1540, Box 6723
APO AE 70127",8287860258,john56@example.net,Keith Briggs,william16@example.net,Tuesday,8.427301201
2023-01-03 16:00:00,Vanilla Cake,4,19.66178177,West,Online,FALSE,Sunny,26.16399357,Average,Positive,52,In Store,Matthew Waller,"54562 Heather Shoal Suite 206
Longtown, CO 12775",558-487-5534x893,amyfigueroa@example.org,Brandon Dunn,sriddle@example.net,Tuesday,78.64712708
2023-01-03 17:00:00,Pizza Beef Double decker,5,12.9786906,West,Online,FALSE,Cloudy,29.4382879,Excellent,Positive,46,Phone Order,Barbara Rubio,"USNV Parsons
FPO AP 51888",(402)353-5570,jensenkathleen@example.net,Catherine Johnson,tmason@example.org,Tuesday,64.89345299
2023-01-03 18:00:00,Vanilla Cake,1,7.036835706,South,Credit Card,TRUE,Cloudy,30.48969382,Average,Positive,36,In Store,Kenneth Mccoy,"0708 Joseph Hollow Apt. 766
Johnsview, VI 73821",(351)808-8894,aprilmueller@example.org,Kimberly Russell,jennifer08@example.net,Tuesday,7.036835706
2023-01-03 19:00:00,Vanilla Cake,4,6.489533041,East,Online,FALSE,Cloudy,30.66682726,Poor,,16,Online Order,Stephanie Jenkins,"4660 Mathis Ranch
West Michaelborough, VT 81196",+1-658-405-9397,troy51@example.org,Travis Hogan,,Tuesday,25.95813217
2023-01-03 20:00:00,Vanilla Cake,2,8.132961061,North,Cash,TRUE,Rainy,20.77949147,Excellent,Positive,27,In Store,Thomas Lane,"3553 Julie Summit
East Candicemouth, MS 46067",547-698-4124,rogersjorge@example.com,Wesley Christian,judithvega@example.org,Tuesday,16.26592212
2023-01-03 21:00:00,Pizza Beef Double decker,4,18.88455995,South,Cash,TRUE,Rainy,,Excellent,Negative,37,In Store,Alexandra King,"592 Mcmillan Wells Suite 719
North Rebecca, OR 73861",316.467.3052x4891,jessicajones@example.net,Sarah Greer,lindajohnson@example.org,Tuesday,75.5382398
2023-01-03 22:00:00,Red Velvet Cake,5,11.21225336,East,Cash,TRUE,Cloudy,26.87379972,Average,Negative,39,In Store,Lauren Gonzalez,"2704 Bob Orchard Apt. 418
Billytown, NM 40830",(943)642-6788,james34@example.net,Jason Baker,lindseygarner@example.org,Tuesday,56.06126682
2023-01-03 23:00:00,Cheesecake,4,10.93151402,South,Online,TRUE,Cloudy,23.93624123,Average,Neutral,42,Online Order,Lauren Bond,"582 Sampson Gateway Apt. 754
Patrickbury, FL 95473",(905)713-5586,zhall@example.net,Andrea Green,michaela48@example.org,Tuesday,43.72605608
2023-01-04 00:00:00,Cheesecake,3,9.698093916,North,Cash,TRUE,Sunny,23.62646761,Poor,Positive,25,In Store,Elizabeth Scott,"8863 Tony Lake Suite 057
Lake David, FM 76570",611-582-0116x9700,dustingolden@example.net,Todd Williams,amanda40@example.net,Wednesday,29.09428175
2023-01-04 01:00:00,Pizza Pepperoni,5,7.205927758,South,Cash,TRUE,Sunny,27.24521169,Average,Neutral,47,In Store,Judith Hall,"27670 Rice Gardens Suite 182
Jocelynfort, WA 03760",001-747-593-5449,clinton68@example.net,Sara Ferguson,marcus87@example.com,Wednesday,36.02963879
2023-01-04 02:00:00,Chocolate Cake,2,12.31776796,North,Cash,TRUE,Sunny,33.30247309,Excellent,Neutral,38,Online Order,Kathryn Jones,"464 Pamela Row Suite 212
West Yolanda, AZ 45755",414.937.9555x9744,andrew17@example.net,Breanna Bowen,bcarter@example.net,Wednesday,24.63553592
2023-01-04 03:00:00,Chocolate Cake,3,6.950716738,South,Credit Card,TRUE,Rainy,25.67521373,Good,,16,Phone Order,Michael Johnson,"01968 Rogers Mills Apt. 230
Phamside, CO 85999",375.202.1858,michael71@example.net,Denise Nichols,,Wednesday,20.85215021
2023-01-04 04:00:00,Fruit Cake,4,17.53220355,North,Online,FALSE,Cloudy,31.2458862,Good,Neutral,44,Phone Order,Amanda Freeman,"94352 Hannah Row
Ralphtown, KS 42976",747.307.2925,josephstevenson@example.com,Kyle Gutierrez,coxconnie@example.net,Wednesday,70.12881418
2023-01-04 05:00:00,Chocolate Cake,5,10.55595479,South,Online,FALSE,Rainy,21.45228096,Poor,Negative,31,Phone Order,Thomas Harris,"Unit 9421 Box 2570
DPO AP 28305",001-936-202-5871x21641,,Amanda Jones,cynthiacarson@example.com,Wednesday,52.77977397
2023-01-04 06:00:00,Pizza Beef Double decker,2,10.62205352,North,Online,TRUE,Cloudy,27.14085053,Average,Neutral,54,Online Order,Jordan Brown,"35015 Barnes Ville Suite 109
Lake Michelle, IN 02641",595.632.5703x77271,patrickpadilla@example.net,Laura Smith,jenniferpeterson@example.org,Wednesday,21.24410703
2023-01-04 07:00:00,Carrot Cake,3,12.11009643,West,Credit Card,TRUE,Sunny,34.87529211,Poor,Positive,48,Online Order,Andrew Moore,"7070 Hendrix Circle
Marymouth, PA 22887",5186677437,,Jessica Booth,michellecannon@example.net,Wednesday,36.33028928
2023-01-04 08:00:00,Pizza Margherita,2,11.6619157,South,Online,TRUE,Sunny,31.55656704,Good,Neutral,52,Phone Order,James Coleman,"556 Reyes Circle Suite 673
South Felicia, AS 51653",877.657.1496x5529,robertfischer@example.org,Justin Lambert,vlucas@example.net,Wednesday,23.32383139
2023-01-04 09:00:00,Fruit Cake,4,19.9228696,South,Credit Card,FALSE,Sunny,23.15792733,Good,Negative,36,In Store,Jason Benson,"57914 Dillon Fields
Lindseyshire, SC 15624",951-644-9723x4934,jeremymiller@example.org,Kendra Olson,melissa72@example.com,Wednesday,79.69147838
2023-01-04 10:00:00,Pizza Margherita,2,13.18071682,East,Credit Card,FALSE,Sunny,27.52162211,Average,Negative,19,Phone Order,Shelia Mueller,"PSC 4153, Box 2921
APO AP 27510",+1-839-985-4056x57671,claire33@example.net,Laurie Young,frankbarton@example.org,Wednesday,26.36143364
2023-01-04 11:00:00,Cheesecake,1,6.323025557,East,Online,TRUE,Cloudy,23.50437145,Excellent,Negative,54,Online Order,Melissa Pope,"04025 Allison Springs
Lake Karen, AK 72462",970-577-5475x971,nlong@example.org,Amy Roberts,,Wednesday,6.323025557
2023-01-04 12:00:00,Pizza Margherita,3,14.10316012,North,Cash,TRUE,Sunny,26.14341391,Average,Neutral,30,In Store,Anthony Meyer,"51060 Walter Ranch Suite 459
Lake Amandaton, LA 50037",001-276-801-8226x91948,xyoung@example.net,Sheri Mathews,heather17@example.com,Wednesday,42.30948037
2023-01-04 13:00:00,Pizza Margherita,2,7.273764393,South,Cash,FALSE,Cloudy,31.70126036,Good,Neutral,27,In Store,Walter Moore,"5092 Johnson Villages Suite 284
Tiffanybury, AL 56458",661.630.2662,brownscott@example.com,Melissa Keller,matthew41@example.org,Wednesday,14.54752879
2023-01-04 14:00:00,Fruit Cake,4,5.464064671,North,Online,FALSE,Cloudy,31.56837223,Excellent,Negative,40,Online Order,Robert Gonzales,"354 Alexis Ferry
Port Michelleborough, NJ 88021",663-828-4624,hurleyabigail@example.org,Megan Snyder,ujones@example.net,Wednesday,21.85625868
2023-01-04 15:00:00,Pizza Pepperoni,4,19.56113231,West,Online,TRUE,Rainy,23.42150567,Poor,,45,In Store,Nicholas Campbell,"521 Glen Centers Apt. 944
Port Stevenfort, IL 94181",001-348-936-9487x6648,karen77@example.org,Brittany Tapia,jasmine20@example.net,Wednesday,78.24452922
2023-01-04 16:00:00,Vanilla Cake,2,16.60308337,East,Credit Card,TRUE,Sunny,,Good,Positive,53,Phone Order,Jamie Edwards,"4498 Lee Gateway Suite 262
Barnesfort, AZ 28615",295-626-6694,tamaramullins@example.org,Dr. Stacy Johnson,ethanjohnson@example.net,Wednesday,33.20616675
2023-01-04 17:00:00,Chocolate Cake,4,19.70163489,North,Online,TRUE,Sunny,28.88852274,Poor,Neutral,37,Online Order,Katherine Wood,"72819 Williamson Fall
Lake Taraville, NY 04525",223-347-5491,landrypeter@example.net,Travis Williams,sarahedwards@example.com,Wednesday,78.80653954
2023-01-04 18:00:00,Chocolate Cake,5,12.16817672,North,Credit Card,TRUE,Rainy,25.69886436,Excellent,Neutral,26,Online Order,Frederick Gardner,"79773 Dale Hollow
South Sherrymouth, WA 87524",001-502-295-9196,uroberts@example.com,Jeffrey Wagner,uclark@example.com,Wednesday,60.8408836
2023-01-04 19:00:00,Pizza Beef Double decker,5,12.98386297,East,Online,FALSE,Cloudy,27.52903371,Poor,Negative,28,Online Order,James Bush,"06519 Shelley Port
Victorland, WV 35613",234.955.9016,smithgwendolyn@example.com,Elizabeth Gregory,owensdanny@example.com,Wednesday,64.91931484
